curah_hujan_DK,curah_hujan_BS,debit_sungai_m3_per_detik,tinggi_muka_air_m,Banjir
9.142857142857142,4.928571428571429,32.24,3.28,0
8.948979591836736,4.857142857142858,38.35,3.47,0
8.755102040816327,4.785714285714286,34.57,3.36,0
8.561224489795919,4.714285714285714,31.35,3.25,0
8.36734693877551,4.642857142857143,32.11,3.27,0
8.173469387755102,4.571428571428571,27.05,3.09,0
7.979591836734694,4.5,26.71,3.08,0
7.7857142857142865,4.428571428571429,27.21,3.1,0
7.591836734693878,4.357142857142858,26.76,3.08,0
7.3979591836734695,4.285714285714286,27.18,3.09,0
7.204081632653061,4.214285714285714,26.14,3.05,0
7.010204081632653,4.142857142857143,24.79,3.01,0
6.816326530612246,4.071428571428571,24.72,3.0,0
6.622448979591837,4.0,24.03,2.97,0
6.428571428571429,3.928571428571429,22.57,2.91,0
6.23469387755102,3.857142857142857,21.73,2.88,0
6.040816326530613,3.7857142857142856,21.26,2.86,0
5.846938775510204,3.7142857142857144,21.18,2.86,0
5.653061224489797,3.6428571428571432,22.64,2.91,0
5.459183673469388,3.5714285714285716,22.68,2.91,0
5.26530612244898,3.5,21.63,2.87,0
5.071428571428572,3.428571428571429,20.91,2.83,0
4.877551020408164,3.357142857142857,21.48,2.86,0
4.683673469387755,3.285714285714286,21.42,2.85,0
4.4897959183673475,3.2142857142857144,20.36,2.81,0
4.295918367346939,3.142857142857143,20.77,2.82,0
4.102040816326531,3.0714285714285716,18.56,2.73,0
3.908163265306123,3.0,19.56,2.77,0
3.7142857142857144,2.928571428571429,20.09,2.79,0
3.520408163265307,2.857142857142857,19.3,2.76,0
3.3265306122448983,2.785714285714286,19.29,2.76,0
3.1326530612244907,2.7142857142857144,18.86,2.73,0
2.9387755102040822,2.642857142857143,18.87,2.74,0
2.7448979591836737,2.5714285714285716,18.4,2.71,0
2.551020408163266,2.5,19.25,2.75,0
2.3571428571428577,2.428571428571429,20.54,2.8,0
2.163265306122449,2.357142857142857,27.81,3.04,0
1.9693877551020407,2.285714285714286,19.18,2.74,0
1.775510204081634,2.2142857142857144,18.97,2.73,0
1.5816326530612255,2.1428571428571432,18.1,2.69,0
1.387755102040817,2.0714285714285716,17.58,2.67,0
1.1938775510204085,2.0,17.88,2.68,0
1.0,1.9090909090909092,17.15,2.65,0
1.0454545454545454,1.8181818181818181,17.54,2.67,0
1.0909090909090908,1.7272727272727273,17.59,2.67,0
1.1363636363636362,1.6363636363636365,17.14,2.64,0
1.1818181818181819,1.5454545454545454,17.66,2.67,0
1.2272727272727273,1.4545454545454546,20.85,2.8,0
1.2727272727272727,1.3636363636363638,19.54,2.75,0
1.3181818181818181,1.272727272727273,19.12,2.72,0
1.3636363636363635,1.1818181818181819,17.43,2.65,0
1.4090909090909092,1.0909090909090908,17.09,2.63,0
1.4545454545454546,1.0,18.18,2.68,0
1.5,6.500000000000001,24.77,2.95,0
4.125,12.000000000000002,20.12,2.76,0
6.75,17.5,17.99,2.67,0
9.375,23.000000000000004,17.68,2.66,0
12.0,28.500000000000004,17.35,2.64,0
14.625,34.0,17.45,2.64,0
17.25,39.50000000000001,17.11,2.62,0
19.875,45.00000000000001,17.63,2.65,0
22.5,50.50000000000001,16.01,2.57,0
25.125,56.00000000000001,16.97,2.61,0
27.75,61.50000000000001,16.16,2.57,0
30.375,67.0,23.21,2.87,0
33.0,65.28205128205128,26.23,2.97,0
32.65625,63.56410256410256,18.55,2.68,0
32.3125,61.84615384615385,19.41,2.72,0
31.96875,60.12820512820513,18.37,2.67,0
31.625,58.41025641025641,17.07,2.61,0
31.28125,56.69230769230769,17.55,2.63,0
30.9375,54.97435897435898,17.45,2.63,0
30.59375,53.256410256410255,17.32,2.62,0
30.25,51.53846153846154,16.87,2.59,0
29.90625,49.82051282051282,16.5,2.57,0
29.5625,48.1025641025641,15.49,2.53,0
29.21875,46.38461538461539,16.45,2.58,0
28.875,44.66666666666667,16.3,2.56,0
28.53125,42.94871794871795,16.18,2.56,0
28.1875,41.23076923076923,16.83,2.59,0
27.84375,39.51282051282051,16.87,2.59,0
27.5,37.794871794871796,16.26,2.56,0
26.75,36.07692307692308,16.3,2.56,0
26.0,34.35897435897436,16.15,2.55,0
25.25,32.64102564102564,15.7,2.53,0
24.5,30.923076923076927,15.84,2.54,0
23.75,29.205128205128204,16.12,2.54,0
23.0,27.48717948717949,15.99,2.54,0
22.25,25.769230769230774,16.27,2.55,0
21.5,24.05128205128205,16.46,2.55,0
20.75,22.333333333333336,16.27,2.54,0
20.0,20.61538461538462,15.58,2.52,0
19.25,18.897435897435898,15.94,2.53,0
18.5,17.179487179487182,15.4,2.5,0
17.75,15.461538461538467,15.15,2.49,0
17.0,13.743589743589745,16.25,2.54,0
16.25,12.025641025641029,16.34,2.54,0
15.5,10.307692307692314,16.17,2.53,0
14.75,8.589743589743591,16.03,2.52,0
14.0,6.871794871794876,17.79,2.6,0
13.25,5.15384615384616,15.47,2.5,0
12.499999999999998,3.435897435897438,17.16,2.58,0
11.749999999999998,1.7179487179487154,15.7,2.5,0
11.0,0.0,15.6,2.5,0
10.25,6.0,24.61,2.87,0
9.5,8.142857142857142,27.15,2.98,0
9.545454545454545,10.285714285714285,23.25,2.82,0
9.590909090909092,12.428571428571429,21.29,2.74,0
9.636363636363637,14.571428571428571,19.44,2.66,0
9.681818181818182,16.714285714285715,17.69,2.59,0
9.727272727272727,18.857142857142858,16.06,2.51,0
9.772727272727273,21.0,23.89,2.82,0
9.818181818181818,15.75,23.32,2.81,0
9.863636363636363,10.5,20.68,2.71,0
9.909090909090908,5.25,21.17,2.73,0
9.954545454545455,0.0,25.87,2.9,0
10.0,0.0,46.99,3.49,0
10.166666666666666,0.0,42.43,3.33,0
10.333333333333334,0.0,20.9,2.71,0
10.5,41.5,20.36,2.69,0
35.0,83.0,42.95,3.37,0
59.5,58.16666666666667,46.04,3.5,0
53.5,33.333333333333336,29.42,3.03,0
47.5,8.5,27.67,2.97,0
41.5,8.166666666666666,23.21,2.8,0
35.5,7.833333333333333,24.1,2.84,0
29.499999999999996,7.5,28.71,3.0,0
23.5,7.166666666666667,27.99,2.97,0
22.595238095238095,6.833333333333334,24.46,2.84,0
21.69047619047619,6.5,21.96,2.74,0
20.785714285714285,6.166666666666667,20.37,2.68,0
19.88095238095238,5.833333333333334,19.85,2.66,0
18.976190476190474,5.5,19.49,2.64,0
18.071428571428573,5.166666666666667,19.79,2.65,0
17.166666666666668,4.833333333333334,20.48,2.68,0
16.261904761904763,4.5,19.8,2.65,0
15.357142857142858,4.166666666666667,19.14,2.62,0
14.452380952380953,3.833333333333334,19.12,2.61,0
13.547619047619047,3.500000000000001,18.7,2.6,0
12.642857142857144,3.166666666666667,17.48,2.54,0
11.738095238095239,2.833333333333334,18.1,2.57,0
10.833333333333334,2.500000000000001,18.37,2.58,0
9.928571428571429,2.166666666666667,17.95,2.56,0
9.023809523809526,1.833333333333334,17.44,2.54,0
8.11904761904762,1.5000000000000009,18.45,2.58,0
7.214285714285715,1.166666666666667,17.08,2.51,0
6.30952380952381,0.8333333333333339,16.26,2.47,0
5.404761904761905,0.5,17.7,2.54,0
4.5,1.0,20.72,2.67,0
30.5,45.0,31.97,3.08,0
56.5,0.5,66.55,4.03,0
0.5,8.0,37.34,3.24,0
18.5,14.5,46.62,3.53,0
9.5,39.5,61.94,3.92,0
0.4,0.5,68.18,4.07,0
22.2,17.0,52.52,3.67,0
44.0,68.5,87.52,4.48,0
49.5,46.0,105.35,4.8,0
48.5,26.75,92.87,4.57,0
34.5,7.5,58.59,3.82,0
20.5,17.0,53.7,3.7,0
21.5,54.5,52.48,3.66,0
57.0,0.5,83.11,4.38,0
51.375,15.166666666666666,52.8,3.67,0
45.75,29.833333333333332,42.46,3.38,0
40.125,44.5,47.77,3.53,0
34.5,10.5,61.84,3.89,0
30.5,24.75,42.0,3.36,0
27.0,39.0,41.38,3.34,0
23.5,11.5,121.02,5.11,1
23.0,3.5,106.11,4.8,0
10.5,4.5,81.28,4.31,0
9.0,4.625,53.48,3.67,0
59.5,4.75,45.18,3.46,0
40.33333333333333,4.875,38.7,3.27,0
21.166666666666664,5.0,39.36,3.29,0
2.0,11.666666666666668,61.59,3.89,0
5.5,18.333333333333336,77.05,4.24,0
1.0,25.0,59.5,3.82,0
9.0,4.5,64.64,3.94,0
2.0,1.0,80.84,4.32,0
14.0,19.5,94.32,4.58,0
